[BPS Process Server][2019-01-10 15:57:28,268][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 15:57:28,273][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 15:57:28,274][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 15:57:28,291][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 15:57:28,294][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 15:57:28,304][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 15:57:28,333][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 15:57:28,364][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 15:57:28,367][INFO] BPS Process Server start up in 1181 ms
[BPS Process Server][2019-01-10 15:57:28,369][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-10 16:17:46,581][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-10 16:17:46,742][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-10 16:17:46,743][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-10 16:17:47,044][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-10 16:17:47,064][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-10 16:17:47,066][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-10 16:17:47,067][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-10 16:17:47,067][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-10 16:17:47,068][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-10 16:17:47,075][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-10 16:17:47,075][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-10 16:17:47,076][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-10 16:17:47,626][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-10 16:17:47,629][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-10 16:17:47,630][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-10 16:17:47,644][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-10 16:17:47,647][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-10 16:17:47,657][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-10 16:17:47,678][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-10 16:17:47,710][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-10 16:17:47,713][INFO] BPS Process Server start up in 1147 ms
[BPS Process Server][2019-01-10 16:17:47,715][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-12 11:28:31,521][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-12 11:28:31,821][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-12 11:28:31,821][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-12 11:28:32,515][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-12 11:28:32,579][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-12 11:28:32,582][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-12 11:28:32,586][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-12 11:28:32,587][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-12 11:28:32,587][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-12 11:28:32,603][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-12 11:28:32,603][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-12 11:28:32,604][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-12 11:28:33,509][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-12 11:28:33,513][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-12 11:28:33,513][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-12 11:28:33,557][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-12 11:28:33,564][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-12 11:28:33,591][INFO] Initialize BPS bizResource module successful . 
[BPS Process Server][2019-01-12 11:28:33,632][INFO] Server instance simulator start complete 
[BPS Process Server][2019-01-12 11:28:33,717][INFO]  Task resource scheduler model start complete 
[BPS Process Server][2019-01-12 11:28:33,725][INFO] BPS Process Server start up in 2244 ms
[BPS Process Server][2019-01-12 11:28:33,729][INFO] BPS Message Framework is False !
[BPS Process Server][2019-01-12 11:31:21,936][INFO] Start BPS Process Server !
[BPS Process Server][2019-01-12 11:31:22,365][INFO] BPS multi-tenancy mode is false
[BPS Process Server][2019-01-12 11:31:22,366][DEBUG] Initialize BPS Process Server  All Service
[BPS Process Server][2019-01-12 11:31:23,826][DEBUG] Lock Service Type:LOCAL
[BPS Process Server][2019-01-12 11:31:23,904][DEBUG] !!!!Here need be configed
[BPS Process Server][2019-01-12 11:31:23,909][DEBUG] Local LRU size:3000
[BPS Process Server][2019-01-12 11:31:23,913][DEBUG] Using lru instance pool!
[BPS Process Server][2019-01-12 11:31:23,913][DEBUG] Not Load on startup,Load process when needed.
[BPS Process Server][2019-01-12 11:31:23,914][DEBUG] Init agent_from cache ,cluster is :false
[BPS Process Server][2019-01-12 11:31:23,935][DEBUG] TX Monitor:false
[BPS Process Server][2019-01-12 11:31:23,935][DEBUG] SQL Monitor:false
[BPS Process Server][2019-01-12 11:31:23,936][INFO] BPS Cluster Framework is False !
[BPS Process Server][2019-01-12 11:31:24,602][DEBUG] Init Task Message Handler
[BPS Process Server][2019-01-12 11:31:24,606][DEBUG] Setup BPS Process Server History Data
[BPS Process Server][2019-01-12 11:31:24,624][DEBUG] Transportation strategy:NEVER
[BPS Process Server][2019-01-12 11:31:24,702][DEBUG] BPS Timer Service startup . 
[BPS Process Server][2019-01-12 11:31:24,718][DEBUG] Add web service invoke interceptor
[BPS Process Server][2019-01-12 11:31:24,749][INFO] Initialize BPS bizResource module successful . 
